"","SRR3396381","SRR3396382","SRR3396384","SRR3396385","SRR3396386","SRR3396387"
"YHR060W",327.185110585526,402.612687068461,371.519396675443,482.212214547217,464.713683602457,436.253799006627
"YHR143W-A",690.978345432369,681.111688649652,821.90352461447,969.532609333281,933.98338371082,824.792338746903
"YHR142W",1050.19556474655,1051.43463640435,1078.4514455924,974.640789572129,992.300394986423,991.30885577845
"YHR058C",235.664799932232,190.711272821902,219.490999058893,248.257559607995,248.758501222492,235.654953927687
"YHL008C",358.073215431012,383.440654350915,392.423301347718,338.161531811714,356.280490761884,374.90560852132
"YHR054W-A",0,0,0,0,0,0
"YHR118C",224.22476110057,212.910468600113,216.640466603583,240.084471225839,268.80497384848,247.340323543936
"tT(UGU)H",0,0,0,0,0,0
"YHL048W",696.6983648482,793.116721894261,793.398200061367,685.517788053353,596.838162273744,704.043519378998
"YHR157W",25.1680854296558,22.1991957782109,38.0070994041374,45.9736221496287,43.7377584567018,48.6890400677039
"YHR110W",1071.9316385267,1059.50707123279,1091.75393038385,998.138418670828,923.048944096645,876.402721218669
"YHR023W",735.594496875849,619.559373082794,591.960573219439,674.279791527888,748.097910269837,694.305711365457
"YHR062C",259.688881478721,218.964794721444,267.950050799168,338.161531811714,442.844804374106,326.216568453616
"YHR219W",13.7280465979941,13.1177065962155,14.2526622765515,7.15145233438669,11.8456429153567,11.6853696162489
"YHR136C",1454.02893550421,1469.18313877614,1648.55793665446,1112.56165602102,1056.99582937029,845.241735575339
"YHL001W",4085.2378667864,4154.2767735861,4754.68813545758,4728.13162907737,4759.21484206987,4568.00573915198
"YHR181W",622.338112442398,630.6589709719,636.618915019301,614.003264709486,605.038991984375,684.567903351916
"YHR214C-B",53.7681825088101,56.5070437990822,49.4092292253786,70.4928872960974,83.8307037086785,71.0859984988476
"YHL009W-B",4.57601553266469,3.02716306066512,4.75088742551717,2.04327209553905,6.37842310826902,8.76402721218669
"YHR214C-C",0,0,0,0,0,0
"YHL009W-A",0,0,0,0,0,0
"YIR015W",258.544877595555,274.462784166971,224.24188648441,222.716658413757,217.777588982328,289.212898002161
"YIL156W-A",0,2.01810870711008,1.90035497020687,1.02163604776953,1.82240660236258,0.973780801354077
"YIL115W-A",5.72001941583087,10.0905435355504,6.65124239572404,8.17308838215622,3.64481320472515,2.92134240406223
"YIL086C",18.3040621306588,14.1267609497706,14.2526622765515,11.2379965254648,10.0232363129942,10.7115888148948
"YIL156W-B",340.91315718352,358.214295512039,335.412652241512,448.498224970822,340.790034641802,314.531198837367
"tT(AGU)I2",0,1.00905435355504,0,0,0.911203301181288,0.973780801354077
"YIL146C",284.856966908377,284.553327702521,307.857505173513,227.824838652605,215.955182379965,231.75983072227
"YIL010W",876.306974505289,851.641874400453,883.665061146194,692.669240387739,681.580069283603,766.365490665659
"YIL117C",747.034535707511,817.334026379582,679.376901848955,456.671313352979,391.817419507954,365.167800507779
"YIL050W",384.385304743834,342.069425855158,384.821881466891,347.356256241639,386.350199700866,319.400102844137
"YIL107C",968.971289041749,1089.77870183944,993.885649418192,735.57795439406,773.611602702914,888.088090834918
"YIL150C",61.7762096909734,57.5160981526373,51.3095841955854,84.7957919648708,86.5643136122223,87.6402721218669
"YIL165C",298.585013506371,374.35916516892,376.27028410096,173.67812812082,133.946885273649,179.17566744915
"YIL045W",771.058617254001,794.125776247816,720.234533708403,367.78897719703,427.354348254024,458.65075743777
"YIL126W",1486.06104423286,1399.55838838084,1379.65770837019,1370.01394005894,1397.7858640121,1436.32668199726
"YIL158W",457.601553266469,444.992969917772,524.497971777096,621.154717043873,635.108700923358,637.82642488692
"YIR018W",356.929211547846,296.661979945182,344.914427092547,259.49555613346,271.538583752024,276.553747584558
"YIR039C",415.273409589321,537.825970444836,455.135015364545,288.101365471007,272.449787053205,294.081802008931
"YIL082W",0,0,0,0,0,0
