"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR365C",965.305000420077,-0.863834342034147,0.160918949231777,-5.36813312638486,7.95558237581774e-08,1.07983771447766e-06
"YDL233W",235.400121007556,0.314030360094007,0.139112995442796,2.25737616456643,0.0239845797975967,0.0697276598780204
"YDR287W",416.147369516543,-0.123757304438053,0.119179266537321,-1.03841303973203,0.299077801348575,0.470089349108878
"YDR448W",367.854227607703,0.040000917653515,0.116330852691851,0.343854761895999,0.730955514384087,0.842550723128516
"YDR180W",171.168138428866,-0.605054258687527,0.152504069399074,-3.9674630393253,7.26417733407226e-05,0.000500220914955055
"tF(GAA)D",1.77355786782161,-0.175652798668439,1.4552175924441,-0.120705521690006,0.903924285302109,NA
"tT(AGU)D",3.75956111792516,-0.53523156559128,0.936779360375426,-0.571352858774322,0.567760477460477,NA
"YDR294C",1105.95308642045,0.0723550938532285,0.0836599066424181,0.864871797699835,0.387109158367767,0.561871148256968
"YDR198C",238.623509635362,-0.390032805228492,0.152473092865784,-2.55804350720309,0.0105262921719828,0.0357987709278792
"YDL163W",0,NA,NA,NA,NA,NA
"YDL119C",215.891865360676,-0.154278960562474,0.14171370501836,-1.08866648107525,0.276300988143695,0.444819830148047
"YDR501W",425.857471023675,1.16289074377623,0.118382009068305,9.82320500326407,8.94533863944574e-23,4.75114160084649e-21
"YDL214C",84.7767392169882,0.695786208191279,0.223510781745704,3.11298722485297,0.00185204034359204,0.00841060402874363
"YDR264C",2274.29460303209,-0.0437444547205055,0.0864535330573467,-0.505988051309467,0.612865037777008,0.758076073459288
"YDR343C",41.713186672387,0.929221962056585,0.290003673195624,3.2041730775933,0.00135451023072176,0.00645850779800821
"YDR373W",889.97447013089,-0.0641246541919831,0.11657191478965,-0.550086650868638,0.582259942227104,0.736107199749188
"YDR354W",1406.35717673651,1.39184133368215,0.0829688438462526,16.7754697927493,3.68929730892374e-63,9.01369118516247e-61
"YDR246W",379.931997895533,0.0592150580972102,0.11912417278088,0.497086835651166,0.619127817495721,0.762887373262834
"YDR428C",291.53607933677,-0.32420132398104,0.122592303228227,-2.64454876402381,0.00817999192784524,0.0290539845733246
"YDR157W",7.95184981232473,0.45389535349201,0.618651539552203,0.733684997891627,0.463140743881741,0.635128797402261
"YDR316W",382.985355041883,-0.0317792998048868,0.113387872824224,-0.280270711614387,0.779269819404968,0.874798760692068
"YDL142C",366.916623115886,0.506494509763412,0.12243596001345,4.136811682677,3.52164894518989e-05,0.000262640192395847
"YDR253C",219.652444787649,-0.124549121399756,0.135019430013866,-0.922453319399774,0.356292168735057,0.531177097054852
"YDL112W",516.335195378,-0.597108294862343,0.14512422372289,-4.11446331663073,3.88081265617719e-05,0.000284220667912833
"YDR545W",1.1903649198909,-1.16686157419983,1.75465073942161,-0.665010732896317,0.506043628281114,NA
"YDL187C",1.02413423362345,0.123918771690963,1.71470673917849,0.0722682012379164,0.94238847024242,NA
"YDL138W",454.479476338604,0.0979609761932308,0.1138870701447,0.860158893092653,0.389701460816692,0.564129178625169
"YDR528W",683.57446809666,-0.320446154973941,0.0995687766556879,-3.21833978217945,0.0012893498041493,0.00620456895218947
"YDR284C",1059.0200792634,0.0736715809080986,0.0936609026129443,0.786577737912136,0.431529095513849,0.60551763400194
"YDR050C",44530.6796574744,-0.03666631413684,0.0826155821379621,-0.443818383747631,0.657173896009956,0.790627960769905
"YDL010W",210.961547270693,0.164308659522067,0.151570658491627,1.08404001907232,0.278347055413768,0.447178789916526
"YDL065C",633.9132629205,-0.0618440233752857,0.106605919865289,-0.580118097132259,0.561834980555933,0.718267740582968
"YDR349C",964.486225113677,-0.00766049652016652,0.0879837036629639,-0.0870672204197191,0.930618080724567,0.962447551145556
"YDL098C",162.7243024575,-0.413951313168299,0.16504406545624,-2.50812600879645,0.0121373375686957,0.0401162650809489
"YDL234C",740.374904336588,0.239083918551814,0.105496711875205,2.26626891305042,0.0234349235617296,0.0683901161562562
"YDR118W",248.525849419828,0.00733208201129243,0.139336984312224,0.0526212193229533,0.95803370981677,0.977589587135114
"YDR118W-A",8.85258139668174,-0.0655657163492573,0.611405891316123,-0.107237626068861,0.914600466236594,0.954276863130617
"YDR159W",584.036854692531,-0.11848795364983,0.102695284134512,-1.15378183768042,0.248589622154235,0.412604731553823
"YDR111C",669.736798638742,-0.0699894517596418,0.0979751794411793,-0.714359005605709,0.475005214287029,0.644740410858927
"YDR128W",459.438333446902,-0.237075872567796,0.113278447614882,-2.09285947644511,0.0363617006112897,0.096858816979397
"YDL034W",19.8791049458372,0.354104280597868,0.396229642635369,0.893684476110065,0.371490733614705,0.546762747209306
"YDR065W",173.325750867351,-0.443199304227684,0.164414379797258,-2.69562373299831,0.00702569788996281,0.0257426291013154
"YDL004W",1132.23517772538,0.138055600155138,0.0862352933809711,1.60091761438364,0.109395167683267,0.228283458903108
"YDR024W",7.68965962512149,-0.0177969020865514,0.643975516191599,-0.0276359918026082,0.977952475312913,0.988471573591142
"YDL171C",1788.63619959541,0.349430055131311,0.100716440875376,3.46944403609028,0.000521536709069312,0.00282657162288852
"YDR083W",330.022623058108,-1.10474636925307,0.176350863730903,-6.26447949208133,3.74072784482611e-10,8.01697041270101e-09
"YDR457W",771.547103601056,0.079407846735088,0.140397188311634,0.565594280697627,0.571669616655211,0.727601170771
"YDR014W",126.138000086904,-0.416518646824341,0.173312895814707,-2.40327556046176,0.0162489379919769,0.0507665029437313
"YDR206W",915.50129386026,-0.297840922936564,0.10231796211121,-2.91093486217834,0.00360349132403225,0.0147917506768743
"YDR478W",93.3029268770428,-0.51554611221535,0.213090277337308,-2.4193788597838,0.0155470381871646,0.0491009872012418
"YDR169C",563.506222790485,0.133552985817683,0.108317039067903,1.23298224330117,0.21758238908946,0.373417598358646
"YDR115W",596.685210728578,-0.0994016962526028,0.131381724485418,-0.756586935069764,0.449297371041326,0.622010050389942
"YDL159W-A",5.74982694463816,0.843094862873394,0.786553022129607,1.07188560612316,0.283771416071587,NA
"YDL232W",598.848642181768,-0.366162602467953,0.105961382718155,-3.45562310603197,0.000549022416400778,0.00295456292456031
"YDL240C-A",3.46988599942924,-0.058527890300486,1.01554367949185,-0.057632075786018,0.954041699343931,NA
"tE(CUC)D",0,NA,NA,NA,NA,NA
"YDL152W",0.16229680022568,-0.870138398184933,4.0804728567969,-0.213244500998342,0.831136259635533,NA
"YDR432W",1348.23658874938,-0.311413594297014,0.105287098340151,-2.95775645075647,0.00309886859024083,0.0129731935224065
"YDL022C-A",3.81846541358859,1.58932258016872,0.987837082698328,1.60889139313074,0.107640091806788,NA
"YDL114W-A",0,NA,NA,NA,NA,NA
"YDR410C",556.588049299201,-0.255429449406184,0.113801384003582,-2.244519709867,0.0247989822216241,0.0718899778878406
"YDR464C-A",0,NA,NA,NA,NA,NA
"YDL072C",2171.41883317052,0.27481156702185,0.103368553785579,2.65856062562219,0.00784752302249349,0.0281625561817804
"YDR053W",17.2189682090976,0.0701966064224164,0.44120159279807,0.159103247967067,0.873587529310334,0.92952782777963
"YDL012C",577.744197139115,0.00263001186536483,0.110633806456945,0.0237722261358542,0.98103429411973,0.990930621545116
"YDR482C",504.66872687657,0.208319555883257,0.116102617584181,1.79427096664907,0.0727699298121335,0.166909024142888
"YDL070W",1667.78630246591,-1.08141585377969,0.0884913750902167,-12.2205791544904,2.41359072927161e-34,2.268032642214e-32
"YDR064W",12232.6311298802,-0.243305452789116,0.0879015289243942,-2.76793197759265,0.00564132287201582,0.0214019876411631
"YDL135C",810.566533479281,-0.112168618364029,0.105081480045077,-1.06744421867594,0.285771289852834,0.455622823915716
"YDL077C",416.494432543625,-0.0761131145741193,0.121142892429954,-0.62829203634979,0.529812647574731,0.695796433641744
"YDR354C-A",0,NA,NA,NA,NA,NA
"YDL033C",187.02318173143,-0.150933653024672,0.143773487601174,-1.04980170922305,0.293809289259147,0.46455789251744
"YDL031W",848.433531846661,-0.759001322545454,0.134020199816315,-5.66333525532512,1.48458700545612e-08,2.31322893605254e-07
"YDR398W",835.762080248699,-0.685751522566993,0.171690837691461,-3.99410668494338,6.49386210176137e-05,0.000451759791771737
"YDR326C",911.014540513722,-0.174701091003012,0.0936193437829222,-1.86607899547017,0.0620303142026182,0.147367234208321
"YDL052C",1509.7973837507,0.14741600365039,0.0849317499131257,1.73569959174487,0.0826169657347777,0.183968073900117
"YDR536W",118.790630119222,0.172179772204998,0.17237472646157,0.998869009044578,0.317858150779228,0.490891930457528
"YDR397C",27.4878880573323,-0.298504970273545,0.33331773134504,-0.895556828222085,0.370489501839747,0.545420553684544
"YDL116W",681.297320137788,-0.0164693952177645,0.102642820184148,-0.160453455860013,0.872523883353902,0.929434230820654
"YDR028C",1567.24708518191,0.133615734418261,0.0902776186025007,1.48005382160756,0.138858883833592,0.270369799953962
"YDL007W",3015.88330944281,0.0444173891512474,0.0924729546332744,0.480328430376169,0.630993876079547,0.771902782914855
"YDR236C",524.858288058257,-0.0465403060182653,0.144327654992792,-0.322462843455674,0.7471020822397,0.853405466117951
"YDR011W",6635.91136741577,1.07338417999908,0.0894520713572304,11.9995452728252,3.57253795941148e-33,3.07338899381484e-31
"YDR155C",10587.1614731243,-0.0730765804634523,0.0806027069525372,-0.906626876768337,0.364604143930813,0.540217217104507
"YDR414C",473.201726958851,0.0410800085284326,0.113243595623971,0.36275789639213,0.71678574624475,0.834087890657826
"YDR026C",535.787299158041,-0.108777494578721,0.107637313745801,-1.0105928027488,0.312211361967439,0.485114983184207
"YDL073W",750.969593814842,-0.0331022598768134,0.0950064564986314,-0.348421161011202,0.727523912777206,0.841473353332898
"tY(GUA)D",3.8429543121819,1.91224019053944,0.985464876355976,1.94044479556741,0.0523256570429917,NA
"YDL115C",472.269811002448,-0.00138191120699351,0.108358661573431,-0.0127531217802744,0.989824756850739,0.994557071223692
"YDL145C",2835.41676952867,-0.0306166811799015,0.081586938416825,-0.375264494219428,0.707463769366163,0.826231109615396
"YDR203W",0.856423370273775,3.2658103285727,2.18342672148254,1.49572701315812,0.134724807887408,NA
"YDL104C",125.179877682736,0.0112430229116121,0.170331388380472,0.0660067590507648,0.94737244424815,0.970911635668855
"YDL149W",283.365102159561,0.178258267552833,0.132946209937085,1.34083000664096,0.179975651414724,0.326975395253164
"YDR231C",312.748581166995,0.435114820165394,0.129879423882844,3.35014436588419,0.000807694523635475,0.00414223186428672
"YDR045C",502.970539965888,-0.30195007097721,0.119468979477434,-2.52743492325758,0.0114899115646151,0.0383918926896439
"YDL075W",9751.09946289512,-0.218926416931872,0.0870212753863047,-2.51578037623574,0.0118769167489014,0.0393849113606649
"YDR415C",387.793021017115,-0.09283599284916,0.115819570591646,-0.801557045799097,0.422809233127848,0.59739042237911
"YDR339C",514.819290278064,-0.382300613323037,0.132486807441871,-2.88557495425175,0.00390699415790312,0.0158986810902547
